
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-01-01;22.470,78;2806098794351;23.158,67;2541994880589;23.101,94;3612858052265;22.480,10;41529090296;22.707,72;306033249763;22.334,22;3548056061109
2012-01-02;22.464,05;2804539687561;23.158,77;2540873826578;23.098,42;3611056966377;22.479,14;41526841083;22.716,93;306151300411;22.334,67;3548235784631
2012-01-03;22.451,43;2801438706013;23.149,90;2540321797318;23.096,47;3609346223950;22.480,44;41621201134;22.718,39;304550818597;22.323,51;3542647526651
2012-01-04;22.589,70;2818246968993;23.269,61;2552383317112;23.223,49;3628128670902;22.593,04;41848322150;22.851,68;306398986770;22.469,46;3565480022597
2012-01-05;22.590,82;2818133526624;23.283,83;2552990107914;23.232,82;3628941860599;22.600,16;41948671124;22.865,53;308648809024;22.469,16;3565185108428
2012-01-06;22.568,73;2814646022503;23.256,56;2548172945297;23.200,98;3623492177059;22.583,40;41969786002;22.848,82;308345636036;22.434,84;3559674390273
2012-01-07;22.568,73;2814646022503;23.256,56;2548172945297;23.200,98;3623492177059;22.583,40;41969786002;22.848,82;308345636036;22.434,84;3559674390273
2012-01-08;22.568,73;2814646022503;23.256,56;2548172945297;23.200,98;3623492177059;22.583,40;41969786002;22.848,82;308345636036;22.434,84;3559674390273
2012-01-09;22.503,02;2805694610900;23.193,68;2539962990788;23.136,73;3613394410006;22.521,48;41921518426;22.802,02;307663934737;22.375,41;3549777433780
2012-01-10;22.596,63;2816670953824;23.287,61;2549068297612;23.238,06;3629116842396;22.609,72;42199900358;22.876,04;308734543733;22.477,46;3565636184778
2012-01-11;22.726,84;2832816744716;23.408,68;2560403624768;23.350,63;3647026688721;22.728,38;42630865640;22.999,75;310479265771;22.592,38;3583063780061
2012-01-12;22.698,65;2831216945780;23.392,93;2559076289083;23.332,88;3646772881824;22.702,23;43100207811;22.988,89;310513996574;22.571,71;3581062822691
2012-01-13;22.680,99;2834866508163;23.360,93;2558461917464;23.302,06;3646233439292;22.676,61;44230893406;22.988,48;311172203084;22.545,15;3579715984848
2012-01-14;22.680,99;2834866508163;23.360,93;2558461917464;23.302,06;3646233439292;22.676,61;44230893406;22.988,48;311172203084;22.545,15;3579715984848
2012-01-15;22.680,99;2834866508163;23.360,93;2558461917464;23.302,06;3646233439292;22.676,61;44230893406;22.988,48;311172203084;22.545,15;3579715984848
2012-01-16;22.693,02;2834061067399;23.384,55;2564036430621;23.312,96;3653668493382;22.675,21;45216734495;22.994,11;309869752113;22.549,76;3584309125008
2012-01-17;22.661,22;2834237910177;23.337,57;2561055206606;23.290,35;3655472685724;22.640,48;46285481101;22.959,34;309896533828;22.514,64;3586276947649
2012-01-18;22.765,12;2847343327372;23.442,54;2571819370964;23.401,31;3673987883638;22.745,48;46645065563;23.079,53;313322976457;22.615,58;3603145188084
2012-01-19;22.879,66;2861501655237;23.555,31;2583355776170;23.518,13;3691309261896;22.854,31;46901211353;23.180,07;314702610969;22.738,83;3622483522437
2012-01-20;22.940,39;2868485225467;23.611,93;2588262608720;23.583,27;3700993148986;22.941,45;47126323442;23.264,60;315828175724;22.788,63;3630199131632
2012-01-21;22.940,39;2868485225467;23.611,93;2588262608720;23.583,27;3700993148986;22.941,45;47126323442;23.264,60;315828175724;22.788,63;3630199131632
2012-01-22;22.940,39;2868485225467;23.611,93;2588262608720;23.583,27;3700993148986;22.941,45;47126323442;23.264,60;315828175724;22.788,63;3630199131632
2012-01-23;22.962,67;2870717726814;23.639,70;2590876227035;23.600,58;3703018399231;22.948,82;47167490754;23.281,01;316069878561;22.812,20;3633780673490
2012-01-24;22.945,35;2868053329064;23.613,53;2587045119148;23.577,27;3698617039022;22.934,31;47157714499;23.279,53;316032170125;22.794,92;3631067964748
2012-01-25;23.006,25;2875163441567;23.688,30;2594450534738;23.645,40;3709053678301;22.980,61;47279088168;23.319,72;316558945553;22.858,60;3641085533680
2012-01-26;23.052,67;2880905020207;23.736,80;2599965988544;23.697,18;3716737242430;23.019,67;47523813399;23.361,93;317137689062;22.905,04;3648942748970
2012-01-27;23.024,34;2876937855120;23.706,24;2596294606866;23.645,14;3708727914912;22.981,21;47783448406;23.362,10;317184425317;22.863,24;3642475859490
2012-01-28;23.024,34;2876937855120;23.706,24;2596294606866;23.645,14;3708727914912;22.981,21;47783448406;23.362,10;317184425317;22.863,24;3642475859490
2012-01-29;23.024,34;2876937855120;23.706,24;2596294606866;23.645,14;3708727914912;22.981,21;47783448406;23.362,10;317184425317;22.863,24;3642475859490
