
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-01-01;23.254,10;5963984450131;26.755,86;5179397877830;25.933,61;7107010557358;25.988,96;31867493434;47.821,13;915890142788;23.159,04;8962013590272
2012-01-02;23.248,25;5962200764157;26.756,54;5179335905643;25.932,42;7104665816475;25.988,70;31849673640;47.826,56;915952190700;23.162,14;8955272551140
2012-01-03;23.240,20;5958433243949;26.745,75;5180897543072;25.927,49;7103097847912;25.985,11;33066303103;47.821,97;913341900320;23.150,17;8944582600847
2012-01-04;23.323,28;5979259008610;26.816,95;5193359035581;26.004,93;7124240860431;26.069,91;33185250852;47.977,40;916461954376;23.239,14;8977343061483
2012-01-05;23.322,71;5978491044942;26.825,98;5193540577034;26.019,46;7125215661429;26.080,37;33212699751;47.994,80;919052578349;23.247,29;8980564414300
2012-01-06;23.317,12;5974555429172;26.831,84;5193781340098;26.006,76;7120604082172;26.078,58;33283684626;48.000,32;919143704397;23.241,54;8974884430170
2012-01-07;23.317,12;5974555429172;26.831,84;5193781340098;26.006,76;7120604082172;26.078,58;33283684626;48.000,32;919143704397;23.241,54;8974884430170
2012-01-08;23.317,12;5974555429172;26.831,84;5193781340098;26.006,76;7120604082172;26.078,58;33283684626;48.000,32;919143704397;23.241,54;8974884430170
2012-01-09;23.279,91;5964639186388;26.793,07;5182292268828;25.972,00;7109894606208;26.041,59;33281090561;47.957,89;918132053236;23.202,70;8959482441235
2012-01-10;23.342,47;5980182018930;26.862,21;5194078883973;26.038,57;7125448871314;26.109,08;33475157830;48.052,85;919903269661;23.270,11;8985233814144
2012-01-11;23.417,72;5998964980022;26.933,13;5200876449502;26.102,07;7144036092421;26.184,37;33822520491;48.181,59;922369372570;23.335,11;9015433154243
2012-01-12;23.406,46;5998164143885;26.931,41;5200264738502;26.095,89;7147035465332;26.171,37;33425201450;48.182,20;922181066790;23.326,08;9013525130315
2012-01-13;23.391,76;5998378918436;26.904,07;5198815679811;26.075,25;7142004248690;26.144,99;34317588756;48.176,31;923327508022;23.308,49;9004446055424
2012-01-14;23.391,76;5998378918436;26.904,07;5198815679811;26.075,25;7142004248690;26.144,99;34317588756;48.176,31;923327508022;23.308,49;9004446055424
2012-01-15;23.391,76;5998378918436;26.904,07;5198815679811;26.075,25;7142004248690;26.144,99;34317588756;48.176,31;923327508022;23.308,49;9004446055424
2012-01-16;23.433,26;6010299878180;26.969,48;5217168041271;26.128,35;7162910998906;26.193,51;35462151133;48.269,72;923505032973;23.351,04;9029965546655
2012-01-17;23.416,38;6010602306337;26.948,22;5215650480547;26.121,70;7165867921612;26.184,91;36419335381;48.229,30;923561371914;23.330,48;9031304042071
2012-01-18;23.472,07;6024531399567;27.008,33;5227373213262;26.182,78;7182029177312;26.244,25;36247866636;48.358,32;927857938202;23.377,24;9051423936641
2012-01-19;23.557,69;6044849790281;27.100,16;5245388264280;26.279,76;7208941987937;26.340,90;36453423565;48.526,10;930943514182;23.470,90;9087176155880
2012-01-20;23.599,27;6055742656205;27.130,49;5248681968799;26.325,56;7221055293252;26.400,08;36441183798;48.607,24;933157002096;23.501,16;9098865047149
2012-01-21;23.599,27;6055742656205;27.130,49;5248681968799;26.325,56;7221055293252;26.400,08;36441183798;48.607,24;933157002096;23.501,16;9098865047149
