
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-01-01;25.636,80;1200127975746;27.167,64;1570634520262;24.217,06;1570147798950;27.379,76;17407090380;42.991,40;100692366782;24.950,00;1052818588984
2012-01-02;25.635,63;1200644830399;27.193,43;1574962869937;24.230,67;1572875775780;27.400,38;17422912424;43.018,99;100882871518;24.969,62;1053042920062
2012-01-03;25.624,90;1201655264272;27.195,04;1584022974590;24.241,72;1577945782493;27.398,91;19970797130;43.024,79;99732797142;24.975,79;1057262199219
2012-01-04;25.631,54;1203294764224;27.190,66;1585043849937;24.242,71;1579370076822;27.408,95;19968467342;43.019,71;99569652693;24.969,38;1058422371496
2012-01-05;25.656,34;1204196369800;27.226,18;1589717828316;24.269,61;1582492871597;27.426,01;20006067504;43.066,24;101120269469;25.002,04;1061220886087
2012-01-06;25.689,74;1208512390806;27.279,68;1596286242116;24.312,70;1586758189243;27.459,69;20014236207;43.134,15;101393992377;25.046,95;1062743163196
2012-01-07;25.689,74;1208512390806;27.279,68;1596286242116;24.312,70;1586758189243;27.459,69;20014236207;43.134,15;101393992377;25.046,95;1062743163196
2012-01-08;25.689,74;1208512390806;27.279,68;1596286242116;24.312,70;1586758189243;27.459,69;20014236207;43.134,15;101393992377;25.046,95;1062743163196
2012-01-09;25.700,33;1210622555546;27.302,62;1598584854883;24.337,17;1587081343812;27.482,70;20028614771;43.161,87;101366905996;25.064,32;1063670172633
2012-01-10;25.699,05;1212347183193;27.287,50;1602375279227;24.331,18;1589243696638;27.479,58;20097947722;43.141,83;101410101338;25.056,39;1065829577009
2012-01-11;25.708,43;1214226386001;27.277,87;1602506566553;24.325,55;1592448113013;27.480,88;20111739109;43.129,30;101613561374;25.051,16;1067420996146
2012-01-12;25.728,54;1215470839872;27.317,05;1605959656553;24.350,85;1596028603751;27.506,81;20097057951;43.184,09;101717446680;25.079,30;1070067327762
2012-01-13;25.743,99;1218346460683;27.344,71;1612201091756;24.369,98;1598152793977;27.527,71;20140061906;43.229,09;102178187170;25.102,82;1073559620556
2012-01-14;25.743,99;1218346460683;27.344,71;1612201091756;24.369,98;1598152793977;27.527,71;20140061906;43.229,09;102178187170;25.102,82;1073559620556
2012-01-15;25.743,99;1218346460683;27.344,71;1612201091756;24.369,98;1598152793977;27.527,71;20140061906;43.229,09;102178187170;25.102,82;1073559620556
2012-01-16;25.873,72;1227869460006;27.462,47;1626220390560;24.488,26;1612151706375;27.670,30;20508884898;43.430,50;102120628764;25.216,12;1084085794128
2012-01-17;25.896,90;1231234941036;27.507,29;1632183639269;24.520,02;1616629034786;27.704,39;20535335523;43.480,98;102441776089;25.243,12;1088697247816
2012-01-18;25.896,02;1232216979908;27.498,43;1631953019901;24.516,67;1617137827191;27.708,23;19911630030;43.470,52;103166224937;25.236,01;1089581171438
2012-01-19;25.917,67;1234222893971;27.532,35;1637583440947;24.548,76;1621118649908;27.745,13;19939046113;43.536,28;103449681833;25.267,01;1091679382732
2012-01-20;25.932,61;1235904481098;27.536,99;1642580688377;24.555,28;1624065795882;27.752,24;19980115184;43.525,23;103537489958;25.271,56;1092708178359
2012-01-21;25.932,61;1235904481098;27.536,99;1642580688377;24.555,28;1624065795882;27.752,24;19980115184;43.525,23;103537489958;25.271,56;1092708178359
2012-01-22;25.932,61;1235904481098;27.536,99;1642580688377;24.555,28;1624065795882;27.752,24;19980115184;43.525,23;103537489958;25.271,56;1092708178359
2012-01-23;25.958,45;1237988576979;27.559,18;1647496780940;24.572,61;1626865731579;27.785,67;19964731778;43.565,77;103642036482;25.296,91;1094718476363
2012-01-24;25.967,89;1239818881174;27.571,56;1650370157087;24.577,33;1629609597287;27.799,89;19972873087;43.571,78;103669993289;25.308,68;1096378400137
2012-01-25;25.980,88;1241102515434;27.595,91;1651938686373;24.592,60;1630626842539;27.816,90;19981103682;43.610,29;103990772987;25.322,08;1097923797699
2012-01-26;25.996,79;1241329181493;27.618,24;1652827823306;24.610,46;1632037028801;27.823,12;19985209321;43.635,17;104170952379;25.342,08;1099949178351
2012-01-27;26.000,69;1241989640142;27.642,15;1655806940466;24.629,90;1632700707268;27.848,95;20010375678;43.664,43;104359311460;25.358,21;1101062486125
2012-01-28;26.000,69;1241989640142;27.642,15;1655806940466;24.629,90;1632700707268;27.848,95;20010375678;43.664,43;104359311460;25.358,21;1101062486125
2012-01-29;26.000,69;1241989640142;27.642,15;1655806940466;24.629,90;1632700707268;27.848,95;20010375678;43.664,43;104359311460;25.358,21;1101062486125
2012-01-30;25.997,01;1241496745878;27.629,46;1656146458994;24.621,62;1631300361577;27.860,64;19944741094;43.639,77;104314012618;25.342,74;1101839913853
2012-01-31;26.041,84;1244089765898;27.667,90;1661434322794;24.660,57;1633993629982;27.892,81;19972111059;43.699,36;104473545172;25.390,52;1104200054283
2012-02-01;26.060,43;1245970410442;27.683,08;1666803234475;24.673,15;1638049653789;27.912,44;20564270950;43.726,43;103671285946;25.404,38;1106820652055
2012-02-02;26.074,34;1239631684578;27.696,70;1669913964755;24.691,24;1637495239070;27.933,32;21849363892;43.744,27;103614370560;25.419,69;1108404613568
2012-02-03;26.096,25;1240121053990;27.708,90;1669714476648;24.702,89;1637898756278;27.969,01;21924417540;43.758,81;104895472922;25.433,28;1108419873721
2012-02-04;26.096,25;1240121053990;27.708,90;1669714476648;24.702,89;1637898756278;27.969,01;21924417540;43.758,81;104895472922;25.433,28;1108419873721
2012-02-05;26.096,25;1240121053990;27.708,90;1669714476648;24.702,89;1637898756278;27.969,01;21924417540;43.758,81;104895472922;25.433,28;1108419873721
2012-02-06;26.085,47;1239094253951;27.676,39;1668237804679;24.691,97;1636706944685;27.969,37;21888397958;43.728,78;104931198896;25.411,46;1108223933551
2012-02-07;26.081,24;1237821905945;27.657,06;1666905604462;24.678,64;1634178258493;27.964,91;21854317219;43.710,67;104698855327;25.396,99;1106846789019
2012-02-08;26.084,09;1234100853574;27.662,91;1660274128807;24.682,72;1627283729933;27.980,18;21868341098;43.721,06;104822066463;25.403,53;1104946954568
2012-02-09;26.072,45;1229443828053;27.651,34;1653342451135;24.680,49;1618750520720;27.981,62;21786767020;43.708,48;104768630915;25.392,73;1100557083689
2012-02-10;26.065,59;1227688077250;27.640,53;1648490749285;24.674,04;1615740263511;27.979,78;21694097565;43.693,02;104834611611;25.379,36;1097792440153
2012-02-11;26.065,59;1227688077250;27.640,53;1648490749285;24.674,04;1615740263511;27.979,78;21694097565;43.693,02;104834611611;25.379,36;1097792440153
2012-02-12;26.065,59;1227688077250;27.640,53;1648490749285;24.674,04;1615740263511;27.979,78;21694097565;43.693,02;104834611611;25.379,36;1097792440153
2012-02-13;26.094,13;1226483148789;27.683,25;1646075346058;24.703,84;1612990121013;27.995,96;21682229423;43.745,23;104872452235;25.415,27;1097088264293
2012-02-14;26.095,45;1224816799390;27.682,28;1644291826026;24.701,40;1609320271365;27.996,50;21633797879;43.739,72;104677841163;25.412,21;1095558277934
2012-02-15;26.098,20;1223390628621;27.695,41;1646882182276;24.712,12;1611318834294;27.999,29;23522097044;43.759,61;103290308215;25.430,76;1098498055280
2012-02-16;26.086,27;1220706877505;27.675,73;1644192164749;24.701,17;1606466019111;27.996,06;22930319786;43.735,58;103249333259;25.414,73;1095660224824
2012-02-17;26.134,77;1220870435539;27.733,56;1645031807199;24.745,26;1606655825723;28.023,71;22953135244;43.814,30;104225957051;25.467,30;1097022693582
2012-02-18;26.134,77;1220870435539;27.733,56;1645031807199;24.745,26;1606655825723;28.023,71;22953135244;43.814,30;104225957051;25.467,30;1097022693582
2012-02-19;26.134,77;1220870435539;27.733,56;1645031807199;24.745,26;1606655825723;28.023,71;22953135244;43.814,30;104225957051;25.467,30;1097022693582
2012-02-20;26.165,61;1221448620675;27.754,71;1643311786338;24.772,86;1605328071697;28.050,21;22936897812;43.847,83;104258126727;25.496,48;1097743257682
2012-02-21;26.167,75;1219368731653;27.745,87;1643314091395;24.764,94;1603573884096;28.044,46;22756405053;43.842,74;104216198974;25.498,28;1096308849843
2012-02-22;26.122,26;1216048150217;27.681,23;1640449662048;24.711,35;1599534802295;28.012,95;22485378129;43.746,34;104162559262;25.437,36;1092415085815
2012-02-23;26.066,66;1208574740999;27.613,29;1632307320010;24.660,64;1590781489015;27.994,46;22297212792;43.662,07;103798577920;25.376,35;1088710410049
2012-02-24;26.058,24;1204530214699;27.600,73;1627827457062;24.656,68;1587084423531;27.971,93;22280174233;43.639,10;103615352408;25.361,76;1084863417385
2012-02-25;26.058,24;1204530214699;27.600,73;1627827457062;24.656,68;1587084423531;27.971,93;22280174233;43.639,10;103615352408;25.361,76;1084863417385
2012-02-26;26.058,24;1204530214699;27.600,73;1627827457062;24.656,68;1587084423531;27.971,93;22280174233;43.639,10;103615352408;25.361,76;1084863417385
2012-02-27;26.040,02;1201610970851;27.556,84;1620645656217;24.619,24;1578817014827;27.948,04;22252241250;43.599,51;103506990060;25.342,55;1082164604123
2012-02-28;26.045,96;1199055532812;27.578,86;1619269298715;24.630,63;1576478126854;27.955,35;22259845001;43.615,55;103530387106;25.350,93;1082315234451
2012-02-29;25.969,59;1192246346756;27.513,37;1615065745003;24.576,21;1569869992894;27.877,97;22205870809;43.514,91;103182141447;25.291,07;1080342149555
2012-03-01;25.970,14;1188813043405;27.502,75;1615746568268;24.566,69;1565759898680;27.894,35;24717660276;43.501,88;101974259097;25.286,63;1077264342324
2012-03-02;25.966,51;1187485948360;27.492,49;1614132473186;24.556,14;1562556381309;27.885,42;26365621030;43.483,93;101944916172;25.278,58;1076532923250
2012-03-03;25.966,51;1187485948360;27.492,49;1614132473186;24.556,14;1562556381309;27.885,42;26365621030;43.483,93;101944916172;25.278,58;1076532923250
2012-03-04;25.966,51;1187485948360;27.492,49;1614132473186;24.556,14;1562556381309;27.885,42;26365621030;43.483,93;101944916172;25.278,58;1076532923250
2012-03-05;25.996,55;1184249140026;27.542,49;1612035899894;24.592,54;1560611198749;27.926,08;26405906947;43.553,31;102137513578;25.310,34;1076994220324
2012-03-06;26.039,68;1183613702844;27.588,29;1609590398500;24.644,91;1560109134511;27.952,15;26423053070;43.619,92;102629593475;25.342,83;1076013092223
2012-03-07;26.090,28;1183165228671;27.640,64;1608978367175;24.697,92;1558020940466;27.991,38;26165283635;43.711,78;102706993230;25.408,46;1077901566979
2012-03-08;26.104,16;1177318964952;27.651,37;1602025860632;24.705,08;1546958966866;28.010,43;26080071131;43.730,58;102670476196;25.413,89;1074853445347
